id,data_criacao,tipo_chamado,dias_problema,risco_vida_humana,risco_vida_animal,bloqueio_via,urgencia
BCS-00163074,2026-02-22 10:34:58.338000+00:00,Outros Problemas com Postes,51,Sim,Não,Não,URGENTE
BCS-00172400,2026-03-07 09:40:54.637000+00:00,Outros Problemas com Postes,38,Não,Sim,Não,ALTA
BCS-00166754,2026-02-25 09:02:46.448000+00:00,Luz Queimada Poste,48,Sim,Não,Sim,URGENTE
BCS-00171257,2026-03-04 23:15:53.768443+00:00,Luz Queimada Poste,41,Sim,Não,Sim,URGENTE
BCS-00065327,2025-08-01 06:35:06.539000+00:00,Problema com Animal Doméstico,256,Sim,Não,Não,URGENTE
BCS-00065331,2025-08-01 07:22:49.594000+00:00,Problema com Animal Doméstico,256,Sim,Não,Não,URGENTE
BCS-00065757,2025-08-01 16:24:35.596000+00:00,Problema com Animal Selvagem,256,Sim,Sim,Não,URGENTE
BCS-00065840,2025-08-01 20:33:21.702000+00:00,Problema com Animal Selvagem,256,Sim,Não,Sim,URGENTE
BCS-00065843,2025-08-01 20:59:49.697000+00:00,Problema com Animal Doméstico,256,Não,Não,Não,MEDIA
BCS-00065848,2025-08-01 21:19:24.465000+00:00,Problema com Animal Doméstico,256,Sim,Não,Não,URGENTE
BCS-00065849,2025-08-01 21:32:46.073000+00:00,Problema com Animal Selvagem,256,Sim,Não,Sim,URGENTE
BCS-00065851,2025-08-01 21:39:42.813000+00:00,Problema com Animal Selvagem,256,Não,Não,Não,MEDIA
BCS-00065858,2025-08-01 22:17:57.094000+00:00,Problema com Animal Selvagem,256,Sim,Sim,Não,URGENTE
BCS-00065790,2025-08-01 17:40:02.710000+00:00,Problema com Animal Doméstico,256,Sim,Sim,Sim,URGENTE
BCS-00065866,2025-08-02 03:19:31.560000+00:00,Problema com Animal Doméstico,256,Sim,Não,Sim,URGENTE
BCS-00065871,2025-08-02 06:28:41.428000+00:00,Problema com Animal Doméstico,255,Não,Não,Sim,URGENTE
BCS-00065880,2025-08-02 08:21:01.816000+00:00,Problema com Animal Doméstico,255,Não,Sim,Sim,URGENTE
BCS-00065692,2025-08-01 15:05:35.458000+00:00,Problema com Animal Selvagem,256,Sim,Sim,Não,URGENTE
BCS-00065803,2025-08-01 18:03:51.134000+00:00,Problema com Animal Doméstico,256,Não,Sim,Não,ALTA
BCS-00065814,2025-08-01 18:47:08.568000+00:00,Problema com Animal Doméstico,256,Sim,Sim,Sim,URGENTE
BCS-00065816,2025-08-01 18:48:23.003000+00:00,Problema com Animal Doméstico,256,Não,Não,Sim,ALTA
BCS-00065822,2025-08-01 19:00:48.498000+00:00,Problema com Animal Doméstico,256,Não,Sim,Não,ALTA
BCS-00065902,2025-08-02 09:55:21.974000+00:00,Problema com Animal Doméstico,255,Sim,Não,Sim,URGENTE
BCS-00065910,2025-08-02 10:19:25.506000+00:00,Problema com Animal Selvagem,255,Sim,Sim,Sim,URGENTE
BCS-00065912,2025-08-02 10:28:51.938000+00:00,Problema com Animal Selvagem,255,Não,Não,Não,MEDIA
BCS-00065974,2025-08-02 13:07:15.909000+00:00,Problema com Animal Doméstico,255,Não,Sim,Sim,URGENTE
BCS-00065975,2025-08-02 13:16:20.551000+00:00,Problema com Animal Selvagem,255,Não,Não,Sim,ALTA
BCS-00065976,2025-08-02 13:19:52.011000+00:00,Animal Perdido,255,Não,Sim,Não,URGENTE
BCS-00065929,2025-08-02 11:04:04.746000+00:00,Problema com Animal Doméstico,255,Não,Não,Não,MEDIA
BCS-00066032,2025-08-02 16:36:56.712000+00:00,Problema com Animal Doméstico,255,Não,Sim,Sim,URGENTE
BCS-00065980,2025-08-02 13:35:57.235000+00:00,Problema com Animal Selvagem,255,Sim,Não,Sim,URGENTE
BCS-00065991,2025-08-02 14:09:01.245000+00:00,Problema com Animal Selvagem,255,Sim,Não,Não,URGENTE
BCS-00066003,2025-08-02 14:39:42.702000+00:00,Problema com Animal Doméstico,255,Sim,Sim,Não,URGENTE
BCS-00066128,2025-08-03 07:00:26.306000+00:00,Problema com Animal Doméstico,254,Não,Sim,Sim,URGENTE
BCS-00066130,2025-08-03 07:41:10.468000+00:00,Problema com Animal Doméstico,254,Não,Sim,Sim,URGENTE
BCS-00066135,2025-08-03 08:08:12.900000+00:00,Problema com Animal Doméstico,254,Sim,Sim,Não,URGENTE
BCS-00066058,2025-08-02 18:27:10.499000+00:00,Problema com Animal Selvagem,255,Não,Não,Sim,ALTA
BCS-00066071,2025-08-02 19:18:46.227000+00:00,Problema com Animal Selvagem,255,Sim,Sim,Sim,URGENTE
BCS-00065743,2025-08-01 15:56:03.915000+00:00,Problema com Animal Selvagem,256,Não,Sim,Sim,URGENTE
BCS-00066155,2025-08-03 09:51:40.931000+00:00,Problema com Animal Doméstico,254,Não,Não,Sim,ALTA
BCS-00066159,2025-08-03 10:05:15.528000+00:00,Problema com Animal Selvagem,254,Sim,Sim,Não,URGENTE
BCS-00066157,2025-08-03 10:05:15.809000+00:00,Animal Perdido,254,Sim,Sim,Não,URGENTE
BCS-00066166,2025-08-03 10:26:15.964000+00:00,Problema com Animal Selvagem,254,Não,Sim,Não,URGENTE
BCS-00066101,2025-08-02 21:59:52.161000+00:00,Problema com Animal Doméstico,255,Não,Sim,Não,URGENTE
BCS-00066231,2025-08-03 14:22:40.835000+00:00,Problema com Animal Selvagem,254,Não,Sim,Não,ALTA
BCS-00066127,2025-08-03 06:53:32.500000+00:00,Problema com Animal Doméstico,254,Sim,Sim,Sim,URGENTE
BCS-00066328,2025-08-03 21:54:48.012000+00:00,Animal Perdido,254,Sim,Não,Não,URGENTE
BCS-00066175,2025-08-03 11:15:00.435000+00:00,Problema com Animal Doméstico,254,Sim,Sim,Sim,URGENTE
BCS-00066184,2025-08-03 11:38:55.244000+00:00,Problema com Animal Doméstico,254,Não,Não,Sim,ALTA
BCS-00066188,2025-08-03 11:57:33.652000+00:00,Problema com Animal Selvagem,254,Sim,Não,Não,URGENTE
BCS-00066371,2025-08-04 07:44:15.178000+00:00,Problema com Animal Doméstico,253,Sim,Sim,Sim,URGENTE
BCS-00066260,2025-08-03 16:01:04.224000+00:00,Problema com Animal Selvagem,254,Sim,Sim,Não,URGENTE
BCS-00066269,2025-08-03 16:48:28.992000+00:00,Problema com Animal Doméstico,254,Sim,Sim,Sim,URGENTE
BCS-00066201,2025-08-03 13:15:07.065000+00:00,Problema com Animal Selvagem,254,Sim,Não,Não,URGENTE
BCS-00066224,2025-08-03 14:10:26.291000+00:00,Problema com Animal Doméstico,254,Não,Sim,Não,ALTA
BCS-00066397,2025-08-04 08:47:23.408000+00:00,Problema com Animal Doméstico,253,Sim,Sim,Não,URGENTE
BCS-00066404,2025-08-04 08:54:01.727000+00:00,Problema com Animal Selvagem,253,Não,Sim,Não,URGENTE
BCS-00066475,2025-08-04 09:52:10.270000+00:00,Problema com Animal Doméstico,253,Sim,Não,Sim,URGENTE
BCS-00066546,2025-08-04 10:50:13.879000+00:00,Problema com Animal Doméstico,253,Não,Sim,Não,URGENTE
BCS-00066733,2025-08-04 13:26:09.711000+00:00,Problema com Animal Doméstico,253,Não,Não,Não,MEDIA
BCS-00066998,2025-08-04 19:05:49.866000+00:00,Animal Perdido,253,Não,Sim,Não,ALTA
BCS-00066999,2025-08-04 19:21:36.542000+00:00,Problema com Animal Doméstico,253,Sim,Não,Sim,URGENTE
BCS-00067016,2025-08-04 20:19:37.407000+00:00,Problema com Animal Selvagem,253,Sim,Sim,Sim,URGENTE
BCS-00067043,2025-08-05 01:58:42.229000+00:00,Problema com Animal Selvagem,253,Não,Sim,Sim,URGENTE
BCS-00067044,2025-08-05 02:26:55.494000+00:00,Problema com Animal Selvagem,253,Não,Não,Não,MEDIA
BCS-00067054,2025-08-05 06:02:52.118000+00:00,Animal Perdido,252,Sim,Sim,Não,URGENTE
BCS-00066907,2025-08-04 16:00:00.364000+00:00,Problema com Animal Doméstico,253,Sim,Sim,Não,URGENTE
BCS-00067058,2025-08-05 07:27:41.907000+00:00,Problema com Animal Doméstico,252,Sim,Sim,Sim,URGENTE
BCS-00067074,2025-08-05 08:15:54.718000+00:00,Problema com Animal Selvagem,252,Não,Não,Sim,ALTA
BCS-00067073,2025-08-05 08:17:43.238000+00:00,Problema com Animal Doméstico,252,Não,Sim,Sim,URGENTE
BCS-00067086,2025-08-05 08:37:50.892000+00:00,Problema com Animal Doméstico,252,Sim,Não,Não,URGENTE
BCS-00066937,2025-08-04 16:21:42.662000+00:00,Problema com Animal Selvagem,253,Não,Sim,Sim,URGENTE
BCS-00067095,2025-08-05 08:53:45.649000+00:00,Problema com Animal Doméstico,252,Não,Não,Sim,URGENTE
BCS-00067217,2025-08-05 11:04:44.611000+00:00,Problema com Animal Doméstico,252,Sim,Não,Não,URGENTE
BCS-00067481,2025-08-05 15:37:05.771000+00:00,Problema com Animal Doméstico,252,Não,Não,Sim,ALTA
BCS-00067574,2025-08-05 17:52:50.650000+00:00,Problema com Animal Selvagem,252,Não,Não,Sim,URGENTE
BCS-00067596,2025-08-05 19:03:34.464000+00:00,Problema com Animal Selvagem,252,Sim,Sim,Não,URGENTE
BCS-00067598,2025-08-05 19:08:52.767000+00:00,Problema com Animal Doméstico,252,Não,Não,Não,ALTA
BCS-00067610,2025-08-05 19:59:46.459000+00:00,Problema com Animal Doméstico,252,Não,Não,Sim,URGENTE
BCS-00067405,2025-08-05 14:29:09.337000+00:00,Problema com Animal Selvagem,252,Não,Sim,Não,ALTA
BCS-00067637,2025-08-05 23:38:24.313000+00:00,Problema com Animal Selvagem,252,Sim,Sim,Não,URGENTE
BCS-00067639,2025-08-06 03:52:23.156000+00:00,Problema com Animal Selvagem,251,Não,Não,Não,ALTA
BCS-00067659,2025-08-06 08:19:49.848000+00:00,Problema com Animal Doméstico,251,Sim,Não,Sim,URGENTE
BCS-00067664,2025-08-06 08:27:06.835000+00:00,Problema com Animal Doméstico,251,Sim,Não,Sim,URGENTE
BCS-00067667,2025-08-06 08:32:21.300000+00:00,Problema com Animal Doméstico,251,Não,Sim,Não,ALTA
BCS-00067709,2025-08-06 09:31:38.135000+00:00,Problema com Animal Selvagem,251,Sim,Não,Não,URGENTE
BCS-00067724,2025-08-06 09:44:44.366000+00:00,Problema com Animal Selvagem,251,Não,Não,Não,ALTA
BCS-00067874,2025-08-06 12:30:02.622000+00:00,Problema com Animal Doméstico,251,Sim,Não,Não,URGENTE
BCS-00067947,2025-08-06 13:47:45.509000+00:00,Animal Perdido,251,Sim,Não,Não,URGENTE
BCS-00067950,2025-08-06 13:48:04.045000+00:00,Problema com Animal Doméstico,251,Sim,Sim,Não,URGENTE
BCS-00068104,2025-08-06 16:22:43.816000+00:00,Problema com Animal Doméstico,251,Sim,Sim,Sim,URGENTE
BCS-00068120,2025-08-06 16:41:09.270000+00:00,Problema com Animal Selvagem,251,Sim,Sim,Não,URGENTE
BCS-00068152,2025-08-06 17:58:15.116000+00:00,Problema com Animal Doméstico,251,Não,Sim,Não,ALTA
BCS-00068162,2025-08-06 18:24:28.346000+00:00,Problema com Animal Doméstico,251,Sim,Sim,Não,URGENTE
BCS-00068167,2025-08-06 18:52:46.056000+00:00,Problema com Animal Doméstico,251,Sim,Não,Sim,URGENTE
BCS-00068173,2025-08-06 19:08:27.313000+00:00,Problema com Animal Selvagem,251,Sim,Sim,Não,URGENTE
BCS-00068177,2025-08-06 19:14:07.900000+00:00,Problema com Animal Selvagem,251,Não,Sim,Não,URGENTE
BCS-00068132,2025-08-06 17:07:37.952000+00:00,Problema com Animal Doméstico,251,Não,Sim,Não,URGENTE
BCS-00068144,2025-08-06 17:27:19.649000+00:00,Problema com Animal Selvagem,251,Não,Sim,Sim,URGENTE
BCS-00068262,2025-08-07 08:37:25.799000+00:00,Problema com Animal Doméstico,250,Sim,Sim,Não,URGENTE
BCS-00068185,2025-08-06 19:59:38.970000+00:00,Problema com Animal Doméstico,251,Não,Sim,Sim,URGENTE
BCS-00068415,2025-08-07 11:15:16.912000+00:00,Problema com Animal Selvagem,250,Sim,Não,Não,URGENTE
BCS-00068281,2025-08-07 09:04:11.010000+00:00,Problema com Animal Doméstico,250,Não,Sim,Não,URGENTE
BCS-00068220,2025-08-06 22:57:14.519000+00:00,Problema com Animal Doméstico,251,Não,Não,Não,MEDIA
BCS-00068242,2025-08-07 07:17:09.056000+00:00,Problema com Animal Selvagem,250,Não,Não,Sim,URGENTE
BCS-00068551,2025-08-07 13:47:56.230000+00:00,Problema com Animal Doméstico,250,Sim,Não,Não,URGENTE
BCS-00068554,2025-08-07 13:50:02.531000+00:00,Problema com Animal Doméstico,250,Não,Sim,Não,URGENTE
BCS-00068558,2025-08-07 13:57:56.340000+00:00,Problema com Animal Doméstico,250,Sim,Sim,Não,URGENTE
BCS-00068567,2025-08-07 14:13:22.506000+00:00,Problema com Animal Doméstico,250,Não,Sim,Não,ALTA
BCS-00068586,2025-08-07 14:28:39.322000+00:00,Problema com Animal Doméstico,250,Não,Não,Sim,ALTA
BCS-00068658,2025-08-07 15:41:44.382000+00:00,Problema com Animal Doméstico,250,Não,Sim,Sim,URGENTE
BCS-00068685,2025-08-07 16:10:53.393000+00:00,Problema com Animal Doméstico,250,Sim,Não,Não,URGENTE
BCS-00068696,2025-08-07 16:21:45.231000+00:00,Problema com Animal Selvagem,250,Sim,Sim,Não,URGENTE
BCS-00068701,2025-08-07 16:25:22.395000+00:00,Problema com Animal Selvagem,250,Sim,Não,Não,URGENTE
BCS-00068717,2025-08-07 16:43:09.157000+00:00,Problema com Animal Selvagem,250,Sim,Sim,Não,URGENTE
BCS-00068737,2025-08-07 17:10:34.494000+00:00,Animal Perdido,250,Não,Sim,Não,URGENTE
BCS-00068741,2025-08-07 17:17:55.968000+00:00,Problema com Animal Selvagem,250,Não,Sim,Não,URGENTE
BCS-00068750,2025-08-07 17:38:25.972000+00:00,Problema com Animal Doméstico,250,Não,Não,Não,ALTA
BCS-00068757,2025-08-07 17:48:42.148000+00:00,Problema com Animal Selvagem,250,Sim,Não,Sim,URGENTE
BCS-00068755,2025-08-07 17:49:15.771000+00:00,Problema com Animal Doméstico,250,Não,Sim,Não,URGENTE
BCS-00068774,2025-08-07 18:55:03.403000+00:00,Problema com Animal Doméstico,250,Sim,Não,Sim,URGENTE
BCS-00068789,2025-08-07 19:55:16.916000+00:00,Problema com Animal Doméstico,250,Sim,Não,Não,URGENTE
BCS-00068793,2025-08-07 20:19:54.742000+00:00,Problema com Animal Selvagem,250,Sim,Não,Sim,URGENTE
BCS-00068796,2025-08-07 20:36:44.701000+00:00,Problema com Animal Doméstico,250,Sim,Sim,Não,URGENTE
BCS-00068805,2025-08-07 21:59:30.462000+00:00,Problema com Animal Doméstico,250,Não,Sim,Não,URGENTE
BCS-00068841,2025-08-08 08:24:17.172000+00:00,Problema com Animal Selvagem,249,Sim,Sim,Sim,URGENTE
BCS-00068933,2025-08-08 10:03:57.293000+00:00,Problema com Animal Doméstico,249,Não,Sim,Não,URGENTE
BCS-00069019,2025-08-08 11:32:43.772000+00:00,Problema com Animal Doméstico,249,Não,Não,Não,MEDIA
BCS-00069023,2025-08-08 11:33:48.167000+00:00,Problema com Animal Selvagem,249,Sim,Sim,Sim,URGENTE
BCS-00162268,2026-02-20 10:31:11.928000+00:00,Animal Perdido,53,Não,Sim,Não,URGENTE
BCS-00069113,2025-08-08 13:42:33.093000+00:00,Problema com Animal Doméstico,249,Não,Não,Não,MEDIA
BCS-00069046,2025-08-08 12:04:24.604000+00:00,Problema com Animal Doméstico,249,Não,Não,Não,ALTA
BCS-00068907,2025-08-08 09:36:59.758000+00:00,Problema com Animal Selvagem,249,Sim,Sim,Sim,URGENTE
BCS-00068921,2025-08-08 09:43:56.427000+00:00,Problema com Animal Doméstico,249,Sim,Não,Sim,URGENTE
BCS-00069310,2025-08-08 19:01:27.436000+00:00,Problema com Animal Selvagem,249,Sim,Sim,Não,URGENTE
